school_server_code,AstRoamer_Element_Hunt_Activity,Astroamer_Moon_Track,Astroamer_Planet_Trek_Activity,Food_sharing_tool,Ice,Ration Patterns,ages_puzzle,coins_puzzle,factorisation,policesquad
3072026-rj76,10.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,3.0,24.0
3072032-rj82,5.5,0.0,0.0,17.0,0.0,0.0,1.0,0.0,1.0,21.0
3072029-rj79,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,2.0
3051024-rj24,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,11.0,0.0
3051006-rj6,10.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1011001-ct1,5.625,0.0,0.0,10.5,0.0,1.5,2.3333333333333335,1.8,2.25,3.0
3072008-rj58,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
3072024-rj74,3.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,2.75
3051036-rj36,3.3333333333333335,6.0,2.5,2.0,0.0,0.0,5.0,3.0,3.5,0.0
1011011-ct11,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,17.428571428571427
3072050-rj100,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,3.0,8.0
3051049-rj49,8.6,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0
1011024-ct24,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,18.555555555555557
3072031-rj81,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,14.0,0.0
3072028-rj78,1.5,0.0,0.0,18.333333333333332,0.0,0.0,1.0,1.0,1.0,0.0
3051025-rj25,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,13.0
3051044-rj44,2.3333333333333335,5.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
4202034-tg234,1.5,0.0,3.0,3.764705882352941,3.75,2.625,2.0,1.8,2.111111111111111,0.0
3051014-rj14,1.0,0.0,0.0,5.0,0.0,4.0,4.0,2.0,4.0,0.0
3072046-rj96,0.0,0.0,0.0,3.0,0.0,0.0,3.0,5.0,9.0,0.0
2031008-mz8,3.5,0.0,0.0,4.6,0.0,0.0,0.0,4.0,0.0,7.333333333333333
3072035-rj85,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
1011018-ct18,2.0,0.0,0.0,4.0,0.0,0.0,2.5,2.6666666666666665,2.25,5.166666666666667
3072043-rj93,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0
3072023-rj73,4.5,0.0,2.0,2.3333333333333335,0.0,0.0,0.0,0.0,1.0,7.5
3072047-rj97,2.0,0.0,0.0,6.0,6.0,0.0,1.0,1.0,1.0,0.0
4122100-tg300,1.5,0.0,0.0,1.3846153846153846,1.0,2.5,1.6923076923076923,2.2222222222222223,3.9375,2.2857142857142856
3072027-rj77,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.5
4231084-tg184,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.5,0.0
3051026-rj26,5.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.5
3051031-rj31,1.3333333333333333,0.0,0.0,5.166666666666667,2.0,1.0,1.0,0.0,1.3333333333333333,4.0
4231036-tg136,1.5,0.0,0.0,2.7142857142857144,1.3333333333333333,2.5,1.0,1.0,1.5,4.25
3072044-rj94,0.0,0.0,0.0,9.5,3.0,3.0,0.0,0.0,0.0,0.0
3051013-rj13,0.0,0.0,0.0,9.666666666666666,0.0,0.0,2.0,0.0,1.0,2.5
3051047-rj47,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0
3051015-rj15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2031011-mz11,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.75
2031014-mz14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.25
-ct31,1.0,0.0,0.0,3.3333333333333335,2.0,2.5,2.0,0.0,3.3333333333333335,0.0
4192081-tg281,1.25,0.0,0.0,2.769230769230769,4.5,0.0,1.6666666666666667,2.0,1.6666666666666667,0.0
3072009-rj59,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
3051032-rj32,1.5,0.0,0.0,8.272727272727273,2.0,0.0,1.0,0.0,0.0,0.0
3072002-rj52,4.25,0.0,3.5,4.0,0.0,1.0,0.0,0.0,0.0,0.0
3072006-rj56,2.0,0.0,0.0,8.5,0.0,0.0,1.0,0.0,1.0,0.0
3072033-rj83,3.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0
1011022-ct22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.571428571428571
3051022-rj22,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.5
4152031-tg231,3.6666666666666665,0.0,0.0,2.6666666666666665,0.0,0.0,1.5,0.0,2.0,1.5
4141008-tg108,0.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,1.25,0.0
4202004-tg204,2.5,0.0,0.0,1.5,0.0,0.0,2.6666666666666665,1.0,3.0,0.0
