school_server_code,AstRoamer_Element_Hunt_Activity,Food_sharing_tool,Ice,Ration Patterns,ages_puzzle,coins_puzzle,factorisation,policesquad
-ct31,2.0,21.0,3.0,8.0,1.0,0.0,3.0,0.0
1011009-ct9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0
1011001-ct1,8.0,4.0,0.0,2.0,3.0,5.0,4.0,4.0
1011020-ct20,1.0,2.0,0.0,0.0,1.0,1.0,1.0,22.0
1011018-ct18,3.0,3.0,0.0,0.0,2.0,3.0,4.0,12.0
-ct33,1.0,16.0,0.0,0.0,0.0,0.0,2.0,4.0
1011019-ct19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0
1011024-ct24,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0
-ct32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
1011011-ct11,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0
1011022-ct22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
1011026-ct26,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011006-ct6,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1011016-ct16,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
1011003-ct3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1011014-ct14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
1011017-ct17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1011010-ct10,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1011004-ct4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
-ct34,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011008-ct8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011013-ct13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1011005-ct5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
