school_server_code,AstRoamer_Element_Hunt_Activity,Astroamer_Moon_Track,Astroamer_Planet_Trek_Activity,Food_sharing_tool,Ice,Ration Patterns,ages_puzzle,coins_puzzle,factorisation,policesquad
3072026-rj76,10.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,3.0,24.0
3072032-rj82,5.5,0.0,0.0,17.0,0.0,0.0,1.0,0.0,1.0,21.0
3072029-rj79,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,2.0
3051024-rj24,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,11.0,0.0
3051006-rj6,10.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
3072008-rj58,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
3072024-rj74,3.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,2.75
3051036-rj36,3.3333333333333335,6.0,2.5,2.0,0.0,0.0,5.0,3.0,3.5,0.0
3072050-rj100,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,3.0,8.0
3051049-rj49,8.6,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0
3072031-rj81,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,14.0,0.0
3072028-rj78,1.5,0.0,0.0,18.333333333333332,0.0,0.0,1.0,1.0,1.0,0.0
3051025-rj25,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,13.0
3051044-rj44,2.3333333333333335,5.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
3072046-rj96,0.0,0.0,0.0,3.0,0.0,0.0,3.0,5.0,9.0,0.0
3051014-rj14,1.0,0.0,0.0,5.0,0.0,4.0,4.0,2.0,4.0,0.0
3072035-rj85,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
3072043-rj93,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0
3072023-rj73,4.5,0.0,2.0,2.3333333333333335,0.0,0.0,0.0,0.0,1.0,7.5
3072047-rj97,2.0,0.0,0.0,6.0,6.0,0.0,1.0,1.0,1.0,0.0
3072027-rj77,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.5
3051026-rj26,5.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.5
3051031-rj31,1.3333333333333333,0.0,0.0,5.166666666666667,2.0,1.0,1.0,0.0,1.3333333333333333,4.0
3072044-rj94,0.0,0.0,0.0,9.5,3.0,3.0,0.0,0.0,0.0,0.0
3051013-rj13,0.0,0.0,0.0,9.666666666666666,0.0,0.0,2.0,0.0,1.0,2.5
3051015-rj15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051047-rj47,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0
3072009-rj59,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
3051032-rj32,1.5,0.0,0.0,8.272727272727273,2.0,0.0,1.0,0.0,0.0,0.0
3072002-rj52,4.25,0.0,3.5,4.0,0.0,1.0,0.0,0.0,0.0,0.0
3072006-rj56,2.0,0.0,0.0,8.5,0.0,0.0,1.0,0.0,1.0,0.0
3072033-rj83,3.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0
3051022-rj22,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.5
3072022-rj72,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
3072018-rj68,0.0,0.0,0.0,9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
3051002-rj2,4.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3051011-rj11,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072034-rj84,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
3072019-rj69,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072030-rj80,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0
3072036-rj86,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3051001-rj1,1.25,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.5,0.0
3051027-rj27,2.5,0.0,1.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0
3051030-rj30,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
3072041-rj91,0.0,0.0,0.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0
3072048-rj98,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.0,2.0,0.0
3072049-rj99,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3072012-rj62,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.75,0.0
3051004-rj4,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3072040-rj90,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
