school_server_code,Atomic Structure,Basic Astronomy,Ecosystem,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Health and Disease,Linear Equations,Post-CLIx Survey,Pre-CLIx Survey,Proportional Reasoning,Reflecting on Values,Sound,Understanding Motion
rj73,36.0,99.0,11.0,34.0,25.0,86.0,40.0,1.0,6.0,3.0,33.0,17.0,7.0,3.0,26.0
rj86,57.0,67.0,23.0,1.0,10.0,8.0,8.0,20.0,0.0,0.0,34.0,12.0,0.0,80.0,47.0
rj52,52.0,90.0,10.0,20.0,11.0,43.0,8.0,23.0,1.0,0.0,31.0,14.0,5.0,2.0,6.0
rj82,31.0,63.0,0.0,28.0,5.0,61.0,4.0,9.0,1.0,1.0,18.0,1.0,7.0,2.0,23.0
rj76,12.0,23.0,0.0,36.0,1.0,75.0,7.0,24.0,7.0,0.0,16.0,15.0,0.0,0.0,27.0
rj80,57.0,6.0,6.0,61.0,15.0,11.0,5.0,14.0,1.0,0.0,10.0,2.0,0.0,1.0,45.0
rj13,17.0,4.0,11.0,12.0,6.0,62.0,25.0,4.0,0.0,2.0,50.0,23.0,4.0,3.0,3.0
rj92,40.0,1.0,1.0,56.0,8.0,47.0,7.0,0.0,1.0,1.0,23.0,2.0,1.0,1.0,33.0
rj100,30.0,20.0,16.0,1.0,3.0,48.0,31.0,0.0,7.0,2.0,16.0,14.0,1.0,13.0,19.0
rj94,14.0,20.0,3.0,4.0,15.0,25.0,2.0,30.0,4.0,0.0,2.0,41.0,8.0,39.0,7.0
rj26,12.0,26.0,5.0,27.0,29.0,11.0,17.0,11.0,1.0,3.0,18.0,23.0,10.0,9.0,8.0
rj33,33.0,20.0,4.0,26.0,10.0,8.0,3.0,29.0,3.0,1.0,30.0,8.0,6.0,5.0,19.0
rj74,0.0,38.0,0.0,53.0,2.0,46.0,13.0,0.0,1.0,0.0,19.0,30.0,0.0,0.0,0.0
rj93,25.0,14.0,0.0,32.0,3.0,50.0,17.0,0.0,0.0,0.0,19.0,7.0,0.0,0.0,31.0
rj75,19.0,48.0,10.0,13.0,12.0,34.0,2.0,8.0,2.0,3.0,14.0,5.0,11.0,7.0,8.0
rj65,32.0,27.0,0.0,23.0,14.0,19.0,2.0,18.0,1.0,0.0,22.0,3.0,1.0,22.0,3.0
rj49,18.0,38.0,17.0,8.0,20.0,18.0,5.0,3.0,12.0,1.0,13.0,7.0,0.0,1.0,1.0
rj25,4.0,14.0,2.0,15.0,1.0,33.0,47.0,2.0,2.0,0.0,18.0,18.0,0.0,1.0,0.0
rj2,31.0,38.0,6.0,14.0,20.0,2.0,3.0,5.0,0.0,0.0,1.0,7.0,5.0,10.0,12.0
rj6,38.0,68.0,3.0,2.0,1.0,11.0,4.0,4.0,0.0,1.0,2.0,1.0,3.0,0.0,12.0
rj78,20.0,8.0,17.0,1.0,3.0,0.0,0.0,36.0,0.0,0.0,0.0,52.0,1.0,0.0,1.0
