school_server_code,AstRoamer_Element_Hunt_Activity,Astroamer_Planet_Trek_Activity,Food_sharing_tool,Ice,Ration Patterns,ages_puzzle,coins_puzzle,factorisation,policesquad
4122100-tg300,6.0,0.0,13.0,2.0,2.0,13.0,9.0,16.0,7.0
4231036-tg136,4.0,0.0,7.0,3.0,2.0,4.0,1.0,8.0,28.0
4202034-tg234,4.0,1.0,17.0,4.0,8.0,7.0,5.0,9.0,0.0
4192081-tg281,4.0,0.0,13.0,2.0,0.0,3.0,1.0,6.0,0.0
4152031-tg231,3.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0
4202083-tg283,2.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0
4202004-tg204,2.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0
4141008-tg108,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0
4152012-tg212,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0
4231084-tg184,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0
4202059-tg259,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4231046-tg146,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0
4183023-tg23,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4152017-tg217,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
4202003-tg203,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
4152023-tg223,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
4152035-tg235,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
4152072-tg272,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
4152038-tg238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4231029-tg129,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4152092-tg292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4152033-tg233,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
4231047-tg147,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4112043-tg243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4112085-tg285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4152030-tg230,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4152002-tg202,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4141009-tg109,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4152041-tg241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
