school_server_code,Atomic Structure,Basic Astronomy,Ecosystem,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Health and Disease,Linear Equations,Post-CLIx Survey,Pre-CLIx Survey,Proportional Reasoning,Reflecting on Values,Sound,Understanding Motion
tg300,38.0,32.0,33.0,39.0,52.0,82.0,33.0,28.0,146.0,6.0,14.0,34.0,14.0,38.0,35.0
tg234,21.0,26.0,23.0,79.0,85.0,35.0,14.0,29.0,32.0,12.0,13.0,42.0,25.0,40.0,42.0
rj73,36.0,99.0,11.0,34.0,25.0,86.0,40.0,1.0,6.0,3.0,33.0,17.0,7.0,3.0,26.0
rj86,57.0,67.0,23.0,1.0,10.0,8.0,8.0,20.0,0.0,0.0,34.0,12.0,0.0,80.0,47.0
tg136,10.0,20.0,6.0,50.0,64.0,78.0,43.0,16.0,17.0,0.0,6.0,15.0,12.0,7.0,10.0
rj52,52.0,90.0,10.0,20.0,11.0,43.0,8.0,23.0,1.0,0.0,31.0,14.0,5.0,2.0,6.0
ct9,0.0,7.0,0.0,2.0,5.0,158.0,30.0,1.0,0.0,1.0,66.0,8.0,1.0,3.0,2.0
tg231,5.0,11.0,17.0,37.0,36.0,61.0,29.0,9.0,5.0,0.0,3.0,11.0,15.0,27.0,13.0
rj82,31.0,63.0,0.0,28.0,5.0,61.0,4.0,9.0,1.0,1.0,18.0,1.0,7.0,2.0,23.0
ct1,43.0,30.0,1.0,48.0,27.0,26.0,0.0,11.0,9.0,0.0,27.0,18.0,2.0,1.0,5.0
tg204,5.0,41.0,23.0,39.0,45.0,6.0,5.0,13.0,16.0,3.0,11.0,5.0,6.0,23.0,3.0
rj76,12.0,23.0,0.0,36.0,1.0,75.0,7.0,24.0,7.0,0.0,16.0,15.0,0.0,0.0,27.0
rj80,57.0,6.0,6.0,61.0,15.0,11.0,5.0,14.0,1.0,0.0,10.0,2.0,0.0,1.0,45.0
tg272,18.0,15.0,14.0,33.0,19.0,60.0,9.0,13.0,2.0,0.0,6.0,11.0,2.0,10.0,17.0
rj13,17.0,4.0,11.0,12.0,6.0,62.0,25.0,4.0,0.0,2.0,50.0,23.0,4.0,3.0,3.0
rj92,40.0,1.0,1.0,56.0,8.0,47.0,7.0,0.0,1.0,1.0,23.0,2.0,1.0,1.0,33.0
