school_server_code,AstRoamer_Element_Hunt_Activity,Food_sharing_tool,Ice,Ration Patterns,ages_puzzle,coins_puzzle,factorisation,policesquad
1011001-ct1,5.625,10.5,0.0,1.5,2.3333333333333335,1.8,2.25,3.0
1011011-ct11,0.0,7.5,0.0,0.0,0.0,0.0,0.0,17.428571428571427
1011024-ct24,1.0,3.0,0.0,0.0,0.0,0.0,1.0,18.555555555555557
1011018-ct18,2.0,4.0,0.0,0.0,2.5,2.6666666666666665,2.25,5.166666666666667
-ct31,1.0,3.3333333333333335,2.0,2.5,2.0,0.0,3.3333333333333335,0.0
1011022-ct22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.571428571428571
1011009-ct9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.4
1011019-ct19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.25
1011020-ct20,1.0,1.0,0.0,0.0,1.0,1.0,1.0,5.090909090909091
1011017-ct17,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1011006-ct6,2.6666666666666665,4.0,0.0,0.0,0.0,0.0,0.0,1.0
-ct33,1.0,3.3125,0.0,0.0,0.0,0.0,1.0,2.25
1011014-ct14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
1011010-ct10,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
-ct32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
1011003-ct3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
1011016-ct16,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0
1011005-ct5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
1011026-ct26,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011013-ct13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1011008-ct8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011004-ct4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-ct34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
