school_server_code,Atomic Structure,Basic Astronomy,Ecosystem,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Health and Disease,Linear Equations,Post-CLIx Survey,Pre-CLIx Survey,Proportional Reasoning,Reflecting on Values,Sound,Understanding Motion
ct9,0.0,7.0,0.0,2.0,5.0,158.0,30.0,1.0,0.0,1.0,66.0,8.0,1.0,3.0,2.0
ct1,43.0,30.0,1.0,48.0,27.0,26.0,0.0,11.0,9.0,0.0,27.0,18.0,2.0,1.0,5.0
ct22,25.0,14.0,3.0,16.0,0.0,74.0,10.0,13.0,3.0,1.0,7.0,4.0,3.0,1.0,23.0
ct14,33.0,1.0,1.0,55.0,12.0,49.0,5.0,9.0,1.0,0.0,3.0,0.0,0.0,19.0,3.0
ct34,7.0,24.0,4.0,30.0,11.0,22.0,1.0,7.0,4.0,0.0,3.0,3.0,4.0,10.0,13.0
ct6,14.0,11.0,2.0,26.0,16.0,17.0,2.0,7.0,0.0,0.0,19.0,5.0,0.0,3.0,16.0
ct20,3.0,4.0,1.0,27.0,7.0,61.0,9.0,1.0,0.0,0.0,8.0,2.0,1.0,2.0,2.0
ct33,10.0,15.0,1.0,32.0,7.0,4.0,13.0,0.0,1.0,0.0,1.0,31.0,0.0,0.0,1.0
ct19,0.0,0.0,0.0,1.0,1.0,94.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0
ct4,0.0,1.0,0.0,86.0,12.0,2.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0
ct18,0.0,0.0,0.0,53.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,22.0
ct3,0.0,0.0,0.0,0.0,0.0,73.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ct17,0.0,11.0,8.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0
ct31,0.0,11.0,0.0,14.0,5.0,2.0,3.0,0.0,1.0,0.0,1.0,17.0,0.0,0.0,2.0
ct11,0.0,0.0,0.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ct7,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ct28,0.0,0.0,0.0,18.0,7.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0
ct13,4.0,4.0,0.0,0.0,0.0,13.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
