school_server_code,AstRoamer_Element_Hunt_Activity,Astroamer_Planet_Trek_Activity,Food_sharing_tool,Ice,Ration Patterns,ages_puzzle,coins_puzzle,factorisation,policesquad
4202034-tg234,1.5,3.0,3.764705882352941,3.75,2.625,2.0,1.8,2.111111111111111,0.0
4122100-tg300,1.5,0.0,1.3846153846153846,1.0,2.5,1.6923076923076923,2.2222222222222223,3.9375,2.2857142857142856
4231084-tg184,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.5,0.0
4231036-tg136,1.5,0.0,2.7142857142857144,1.3333333333333333,2.5,1.0,1.0,1.5,4.25
4192081-tg281,1.25,0.0,2.769230769230769,4.5,0.0,1.6666666666666667,2.0,1.6666666666666667,0.0
4152031-tg231,3.6666666666666665,0.0,2.6666666666666665,0.0,0.0,1.5,0.0,2.0,1.5
4141008-tg108,0.0,0.0,1.0,1.0,0.0,4.0,4.0,1.25,0.0
4202004-tg204,2.5,0.0,1.5,0.0,0.0,2.6666666666666665,1.0,3.0,0.0
4202083-tg283,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.3333333333333333,1.0
4231046-tg146,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0
4152012-tg212,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0
4152017-tg217,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.5,0.0
4152072-tg272,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
4202059-tg259,1.75,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
4152038-tg238,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
4202003-tg203,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,2.0,0.0
4231029-tg129,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
4152092-tg292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
4183023-tg23,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4152035-tg235,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
4152023-tg223,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
4152033-tg233,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
4231047-tg147,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4112043-tg243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4112085-tg285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4152030-tg230,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4152002-tg202,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4141009-tg109,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4152041-tg241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
